mature read count	mature miRBase miRNA
1	hsa-miR-4446-5p_MIMAT0019233_Homo_sapiens_miR-4446-5p
7	hsa-miR-10401-5p_MIMAT0041633_Homo_sapiens_miR-10401-5p
1	hsa-miR-3690_MIMAT0018119_Homo_sapiens_miR-3690
1	hsa-miR-184_MIMAT0000454_Homo_sapiens_miR-184
7	hsa-miR-10401-5p_MIMAT0041633_Homo_sapiens_miR-10401-5p
1	hsa-miR-320c_MIMAT0005793_Homo_sapiens_miR-320c
1	hsa-miR-450a-5p_MIMAT0001545_Homo_sapiens_miR-450a-5p
1	hsa-miR-320c_MIMAT0005793_Homo_sapiens_miR-320c
1	hsa-miR-5188_MIMAT0021119_Homo_sapiens_miR-5188
2	hsa-miR-450b-5p_MIMAT0004909_Homo_sapiens_miR-450b-5p
3	hsa-miR-6758-5p_MIMAT0027416_Homo_sapiens_miR-6758-5p
5442	hsa-miR-93-5p_MIMAT0000093_Homo_sapiens_miR-93-5p
1	hsa-miR-1284_MIMAT0005941_Homo_sapiens_miR-1284
6	hsa-miR-4687-5p_MIMAT0019774_Homo_sapiens_miR-4687-5p
1	hsa-miR-6502-5p_MIMAT0025460_Homo_sapiens_miR-6502-5p
6	hsa-miR-6803-5p_MIMAT0027506_Homo_sapiens_miR-6803-5p
8866	hsa-let-7a-5p_MIMAT0000062_Homo_sapiens_let-7a-5p
4	hsa-miR-375-5p_MIMAT0037313_Homo_sapiens_miR-375-5p
4	hsa-miR-1238-5p_MIMAT0022947_Homo_sapiens_miR-1238-5p
21	hsa-miR-1294_MIMAT0005884_Homo_sapiens_miR-1294
1	hsa-miR-1246_MIMAT0005898_Homo_sapiens_miR-1246
7	hsa-miR-664b-3p_MIMAT0022272_Homo_sapiens_miR-664b-3p
5	hsa-miR-6868-3p_MIMAT0027637_Homo_sapiens_miR-6868-3p
2	hsa-miR-4449_MIMAT0018968_Homo_sapiens_miR-4449
3	hsa-miR-1229-5p_MIMAT0022942_Homo_sapiens_miR-1229-5p
3	hsa-miR-6837-5p_MIMAT0027576_Homo_sapiens_miR-6837-5p
3	hsa-miR-6812-5p_MIMAT0027524_Homo_sapiens_miR-6812-5p
1	hsa-miR-3648_MIMAT0018068_Homo_sapiens_miR-3648
2	hsa-miR-6791-5p_MIMAT0027482_Homo_sapiens_miR-6791-5p
2	hsa-miR-5587-5p_MIMAT0022289_Homo_sapiens_miR-5587-5p
1	hsa-miR-4767_MIMAT0019919_Homo_sapiens_miR-4767
2	hsa-miR-6819-5p_MIMAT0027538_Homo_sapiens_miR-6819-5p
2	hsa-miR-4749-5p_MIMAT0019885_Homo_sapiens_miR-4749-5p
2	hsa-miR-3917_MIMAT0018191_Homo_sapiens_miR-3917
2	hsa-miR-6816-5p_MIMAT0027532_Homo_sapiens_miR-6816-5p
1	hsa-miR-1234-3p_MIMAT0005589_Homo_sapiens_miR-1234-3p
1	hsa-miR-6726-5p_MIMAT0027353_Homo_sapiens_miR-6726-5p
2	hsa-miR-6879-3p_MIMAT0027659_Homo_sapiens_miR-6879-3p
1	hsa-miR-4767_MIMAT0019919_Homo_sapiens_miR-4767
1	hsa-miR-4785_MIMAT0019949_Homo_sapiens_miR-4785
2	hsa-miR-7855-5p_MIMAT0030430_Homo_sapiens_miR-7855-5p
1	hsa-miR-6743-5p_MIMAT0027387_Homo_sapiens_miR-6743-5p
1	hsa-miR-4751_MIMAT0019888_Homo_sapiens_miR-4751
1	hsa-miR-6824-5p_MIMAT0027548_Homo_sapiens_miR-6824-5p
2	hsa-miR-3928-3p_MIMAT0018205_Homo_sapiens_miR-3928-3p
1	hsa-miR-200c-5p_MIMAT0004657_Homo_sapiens_miR-200c-5p
4	hsa-miR-654-3p_MIMAT0004814_Homo_sapiens_miR-654-3p
1	hsa-miR-6827-5p_MIMAT0027554_Homo_sapiens_miR-6827-5p
1	hsa-miR-6730-5p_MIMAT0027361_Homo_sapiens_miR-6730-5p
1	hsa-miR-1234-3p_MIMAT0005589_Homo_sapiens_miR-1234-3p
1	hsa-miR-2277-5p_MIMAT0017352_Homo_sapiens_miR-2277-5p
1	hsa-miR-4695-3p_MIMAT0019789_Homo_sapiens_miR-4695-3p
1	hsa-miR-758-5p_MIMAT0022929_Homo_sapiens_miR-758-5p
1	hsa-miR-3190-3p_MIMAT0022839_Homo_sapiens_miR-3190-3p
3	hsa-miR-10527-5p_MIMAT0041997_Homo_sapiens_miR-10527-5p
1	hsa-miR-6853-5p_MIMAT0027606_Homo_sapiens_miR-6853-5p
1	hsa-miR-6883-5p_MIMAT0027666_Homo_sapiens_miR-6883-5p
1	hsa-miR-6733-5p_MIMAT0027367_Homo_sapiens_miR-6733-5p
9	hsa-miR-548av-5p_MIMAT0022303_Homo_sapiens_miR-548av-5p
2	hsa-miR-7-5p_MIMAT0000252_Homo_sapiens_miR-7-5p
1	hsa-miR-1972_MIMAT0009447_Homo_sapiens_miR-1972
1	hsa-miR-3690_MIMAT0018119_Homo_sapiens_miR-3690
1	hsa-miR-3690_MIMAT0018119_Homo_sapiens_miR-3690
1	hsa-miR-7703_MIMAT0030018_Homo_sapiens_miR-7703
263092	hsa-miR-92a-3p_MIMAT0000092_Homo_sapiens_miR-92a-3p
8871	hsa-let-7a-5p_MIMAT0000062_Homo_sapiens_let-7a-5p
3	hsa-miR-190a-5p_MIMAT0000458_Homo_sapiens_miR-190a-5p
2	hsa-miR-5006-3p_MIMAT0021034_Homo_sapiens_miR-5006-3p
1	hsa-miR-6509-3p_MIMAT0025475_Homo_sapiens_miR-6509-3p
1	hsa-miR-627-3p_MIMAT0026623_Homo_sapiens_miR-627-3p
1	hsa-miR-3684_MIMAT0018112_Homo_sapiens_miR-3684
