mature read count	mature miRBase miRNA
5442	hsa-miR-93-5p_MIMAT0000093_Homo_sapiens_miR-93-5p
14	hsa-miR-326_MIMAT0000756_Homo_sapiens_miR-326
208	hsa-miR-1260b_MIMAT0015041_Homo_sapiens_miR-1260b
444	hsa-let-7d-5p_MIMAT0000065_Homo_sapiens_let-7d-5p
36	hsa-let-7e-5p_MIMAT0000066_Homo_sapiens_let-7e-5p
5106	hsa-let-7f-5p_MIMAT0000067_Homo_sapiens_let-7f-5p
28	hsa-miR-296-5p_MIMAT0000690_Homo_sapiens_miR-296-5p
272	hsa-miR-197-5p_MIMAT0022691_Homo_sapiens_miR-197-5p
2194	hsa-miR-151b_MIMAT0010214_Homo_sapiens_miR-151b
13	hsa-miR-6800-5p_MIMAT0027500_Homo_sapiens_miR-6800-5p
610	hsa-miR-27b-5p_MIMAT0004588_Homo_sapiens_miR-27b-5p
79	hsa-miR-342-5p_MIMAT0004694_Homo_sapiens_miR-342-5p
139	hsa-miR-424-5p_MIMAT0001341_Homo_sapiens_miR-424-5p
26	hsa-miR-3940-5p_MIMAT0019229_Homo_sapiens_miR-3940-5p
23	hsa-miR-96-5p_MIMAT0000095_Homo_sapiens_miR-96-5p
5089	hsa-let-7f-5p_MIMAT0000067_Homo_sapiens_let-7f-5p
14	hsa-miR-30a-5p_MIMAT0000087_Homo_sapiens_miR-30a-5p
5599	hsa-miR-26a-5p_MIMAT0000082_Homo_sapiens_miR-26a-5p
118	hsa-miR-576-5p_MIMAT0003241_Homo_sapiens_miR-576-5p
2939	hsa-let-7g-5p_MIMAT0000414_Homo_sapiens_let-7g-5p
782	hsa-miR-130a-5p_MIMAT0004593_Homo_sapiens_miR-130a-5p
1631	hsa-miR-4732-5p_MIMAT0019855_Homo_sapiens_miR-4732-5p
22507	hsa-miR-181a-5p_MIMAT0000256_Homo_sapiens_miR-181a-5p
359	hsa-miR-125a-5p_MIMAT0000443_Homo_sapiens_miR-125a-5p
35574	hsa-miR-182-5p_MIMAT0000259_Homo_sapiens_miR-182-5p
17	hsa-miR-3074-5p_MIMAT0019208_Homo_sapiens_miR-3074-5p
244	hsa-miR-143-5p_MIMAT0004599_Homo_sapiens_miR-143-5p
26	hsa-miR-155-5p_MIMAT0000646_Homo_sapiens_miR-155-5p
6548	hsa-miR-423-5p_MIMAT0004748_Homo_sapiens_miR-423-5p
14	hsa-miR-766-5p_MIMAT0022714_Homo_sapiens_miR-766-5p
10722	hsa-miR-142-5p_MIMAT0000433_Homo_sapiens_miR-142-5p
156	hsa-miR-550a-3-5p_MIMAT0020925_Homo_sapiens_miR-550a-3-5p
13	hsa-miR-362-5p_MIMAT0000705_Homo_sapiens_miR-362-5p
113	hsa-miR-501-5p_MIMAT0002872_Homo_sapiens_miR-501-5p
15	hsa-miR-6894-5p_MIMAT0027688_Homo_sapiens_miR-6894-5p
8867	hsa-let-7a-5p_MIMAT0000062_Homo_sapiens_let-7a-5p
13	hsa-miR-132-5p_MIMAT0004594_Homo_sapiens_miR-132-5p
53	hsa-miR-181c-5p_MIMAT0000258_Homo_sapiens_miR-181c-5p
17	hsa-miR-3074-5p_MIMAT0019208_Homo_sapiens_miR-3074-5p
26	hsa-miR-199a-5p_MIMAT0000231_Homo_sapiens_miR-199a-5p
207	hsa-miR-221-5p_MIMAT0004568_Homo_sapiens_miR-221-5p
8866	hsa-let-7a-5p_MIMAT0000062_Homo_sapiens_let-7a-5p
17	hsa-let-7c-5p_MIMAT0000064_Homo_sapiens_let-7c-5p
15	hsa-miR-374b-5p_MIMAT0004955_Homo_sapiens_miR-374b-5p
281	hsa-miR-361-5p_MIMAT0000703_Homo_sapiens_miR-361-5p
26	hsa-miR-199a-5p_MIMAT0000231_Homo_sapiens_miR-199a-5p
34	hsa-miR-127-5p_MIMAT0004604_Homo_sapiens_miR-127-5p
17	hsa-miR-20a-5p_MIMAT0000075_Homo_sapiens_miR-20a-5p
52	hsa-miR-23a-5p_MIMAT0004496_Homo_sapiens_miR-23a-5p
50	hsa-miR-125b-5p_MIMAT0000423_Homo_sapiens_miR-125b-5p
325	hsa-miR-146a-5p_MIMAT0000449_Homo_sapiens_miR-146a-5p
13	hsa-miR-204-5p_MIMAT0000265_Homo_sapiens_miR-204-5p
1635	hsa-miR-186-5p_MIMAT0000456_Homo_sapiens_miR-186-5p
21	hsa-miR-320b_MIMAT0005792_Homo_sapiens_miR-320b
15	hsa-miR-20b-5p_MIMAT0001413_Homo_sapiens_miR-20b-5p
130	hsa-miR-194-5p_MIMAT0000460_Homo_sapiens_miR-194-5p
150	hsa-miR-744-5p_MIMAT0004945_Homo_sapiens_miR-744-5p
4342	hsa-miR-192-5p_MIMAT0000222_Homo_sapiens_miR-192-5p
21	hsa-miR-23b-5p_MIMAT0004587_Homo_sapiens_miR-23b-5p
26	hsa-miR-199b-5p_MIMAT0000263_Homo_sapiens_miR-199b-5p
50	hsa-miR-125b-5p_MIMAT0000423_Homo_sapiens_miR-125b-5p
57	hsa-miR-421_MIMAT0003339_Homo_sapiens_miR-421
396	hsa-miR-128-1-5p_MIMAT0026477_Homo_sapiens_miR-128-1-5p
24	hsa-miR-29a-5p_MIMAT0004503_Homo_sapiens_miR-29a-5p
37	hsa-miR-24-1-5p_MIMAT0000079_Homo_sapiens_miR-24-1-5p
8871	hsa-let-7a-5p_MIMAT0000062_Homo_sapiens_let-7a-5p
5510	hsa-miR-30d-5p_MIMAT0000245_Homo_sapiens_miR-30d-5p
115	hsa-miR-30b-5p_MIMAT0000420_Homo_sapiens_miR-30b-5p
263092	hsa-miR-92a-2-5p_MIMAT0004508_Homo_sapiens_miR-92a-2-5p
4438	hsa-miR-103a-1-5p_MIMAT0037306_Homo_sapiens_miR-103a-1-5p
13	hsa-miR-340-5p_MIMAT0004692_Homo_sapiens_miR-340-5p
5948	hsa-miR-363-5p_MIMAT0003385_Homo_sapiens_miR-363-5p
3287	hsa-miR-107_MIMAT0000104_Homo_sapiens_miR-107
4438	hsa-miR-103a-2-5p_MIMAT0009196_Homo_sapiens_miR-103a-2-5p
177	hsa-miR-181b-5p_MIMAT0000257_Homo_sapiens_miR-181b-5p
921	hsa-miR-30c-5p_MIMAT0000244_Homo_sapiens_miR-30c-5p
138	hsa-miR-10a-5p_MIMAT0000253_Homo_sapiens_miR-10a-5p
419	hsa-miR-101-2-5p_MIMAT0037312_Homo_sapiens_miR-101-2-5p
177	hsa-miR-181b-5p_MIMAT0000257_Homo_sapiens_miR-181b-5p
13	hsa-miR-4742-5p_MIMAT0019872_Homo_sapiens_miR-4742-5p
22	hsa-miR-1468-5p_MIMAT0006789_Homo_sapiens_miR-1468-5p
9	hsa-miR-3176_MIMAT0015053_Homo_sapiens_miR-3176
235	hsa-miR-100-5p_MIMAT0000098_Homo_sapiens_miR-100-5p
22507	hsa-miR-181a-5p_MIMAT0000256_Homo_sapiens_miR-181a-5p
2200	hsa-miR-15a-5p_MIMAT0000068_Homo_sapiens_miR-15a-5p
9	hsa-miR-7976_MIMAT0031179_Homo_sapiens_miR-7976
10	hsa-miR-409-5p_MIMAT0001638_Homo_sapiens_miR-409-5p
14	hsa-miR-4435_MIMAT0018951_Homo_sapiens_miR-4435
21	hsa-miR-320b_MIMAT0005792_Homo_sapiens_miR-320b
10	hsa-miR-4482-5p_MIMAT0019016_Homo_sapiens_miR-4482-5p
8	hsa-miR-3688-5p_MIMAT0019223_Homo_sapiens_miR-3688-5p
8	hsa-miR-3688-5p_MIMAT0019223_Homo_sapiens_miR-3688-5p
9	hsa-miR-548av-5p_MIMAT0022303_Homo_sapiens_miR-548av-5p
7	hsa-miR-10401-3p_MIMAT0041634_Homo_sapiens_miR-10401-3p
8	hsa-miR-32-5p_MIMAT0000090_Homo_sapiens_miR-32-5p
9	hsa-miR-196b-5p_MIMAT0001080_Homo_sapiens_miR-196b-5p
8	hsa-miR-181d-5p_MIMAT0002821_Homo_sapiens_miR-181d-5p
7	hsa-miR-193a-5p_MIMAT0004614_Homo_sapiens_miR-193a-5p
7	hsa-miR-6881-5p_MIMAT0027662_Homo_sapiens_miR-6881-5p
7	hsa-miR-133a-5p_MIMAT0026478_Homo_sapiens_miR-133a-5p
7	hsa-miR-99a-5p_MIMAT0000097_Homo_sapiens_miR-99a-5p
9	hsa-miR-215-5p_MIMAT0000272_Homo_sapiens_miR-215-5p
6	hsa-miR-4659b-5p_MIMAT0019733_Homo_sapiens_miR-4659b-5p
7	hsa-miR-19b-1-5p_MIMAT0004491_Homo_sapiens_miR-19b-1-5p
7	hsa-miR-133a-5p_MIMAT0026478_Homo_sapiens_miR-133a-5p
7	hsa-miR-19b-2-5p_MIMAT0004492_Homo_sapiens_miR-19b-2-5p
6	hsa-miR-3173-5p_MIMAT0019214_Homo_sapiens_miR-3173-5p
5	hsa-miR-4781-5p_MIMAT0019942_Homo_sapiens_miR-4781-5p
6	hsa-miR-1301-5p_MIMAT0026639_Homo_sapiens_miR-1301-5p
5	hsa-miR-3620-5p_MIMAT0022967_Homo_sapiens_miR-3620-5p
6	hsa-miR-5690_MIMAT0022482_Homo_sapiens_miR-5690
8	hsa-miR-301a-5p_MIMAT0022696_Homo_sapiens_miR-301a-5p
4	hsa-miR-3130-5p_MIMAT0014995_Homo_sapiens_miR-3130-5p
6	hsa-miR-6793-5p_MIMAT0027486_Homo_sapiens_miR-6793-5p
4	hsa-miR-3922-5p_MIMAT0019227_Homo_sapiens_miR-3922-5p
6	hsa-miR-1270_MIMAT0005924_Homo_sapiens_miR-1270
6	hsa-miR-1270_MIMAT0005924_Homo_sapiens_miR-1270
4	hsa-miR-641_MIMAT0003311_Homo_sapiens_miR-641
6	hsa-miR-628-5p_MIMAT0004809_Homo_sapiens_miR-628-5p
53	hsa-miR-1180-5p_MIMAT0026735_Homo_sapiens_miR-1180-5p
149	hsa-miR-636_MIMAT0003306_Homo_sapiens_miR-636
3	hsa-miR-3913-5p_MIMAT0018187_Homo_sapiens_miR-3913-5p
4	hsa-miR-659-5p_MIMAT0022710_Homo_sapiens_miR-659-5p
50	hsa-miR-6511b-5p_MIMAT0025847_Homo_sapiens_miR-6511b-5p
50	hsa-miR-6511b-5p_MIMAT0025847_Homo_sapiens_miR-6511b-5p
31	hsa-miR-6511b-5p_MIMAT0025847_Homo_sapiens_miR-6511b-5p
4	hsa-miR-374a-5p_MIMAT0000727_Homo_sapiens_miR-374a-5p
50	hsa-miR-6511b-5p_MIMAT0025847_Homo_sapiens_miR-6511b-5p
3	hsa-miR-3913-5p_MIMAT0018187_Homo_sapiens_miR-3913-5p
4	hsa-miR-6786-5p_MIMAT0027472_Homo_sapiens_miR-6786-5p
44	hsa-miR-4326_MIMAT0016888_Homo_sapiens_miR-4326
80	hsa-miR-324-3p_MIMAT0000762_Homo_sapiens_miR-324-3p
5	hsa-miR-106a-5p_MIMAT0000103_Homo_sapiens_miR-106a-5p
298	hsa-miR-7706_MIMAT0030021_Homo_sapiens_miR-7706
7	hsa-miR-664b-5p_MIMAT0022271_Homo_sapiens_miR-664b-5p
13	hsa-miR-6800-3p_MIMAT0027501_Homo_sapiens_miR-6800-3p
3	hsa-miR-1538_MIMAT0007400_Homo_sapiens_miR-1538
85	hsa-miR-4685-5p_MIMAT0019771_Homo_sapiens_miR-4685-5p
3	hsa-miR-4779_MIMAT0019938_Homo_sapiens_miR-4779
43	hsa-miR-2110_MIMAT0010133_Homo_sapiens_miR-2110
4	hsa-miR-371b-5p_MIMAT0019892_Homo_sapiens_miR-371b-5p
410	hsa-miR-148a-3p_MIMAT0000243_Homo_sapiens_miR-148a-3p
3	hsa-miR-3157-5p_MIMAT0015031_Homo_sapiens_miR-3157-5p
3	hsa-miR-624-5p_MIMAT0003293_Homo_sapiens_miR-624-5p
9267557	hsa-miR-486-5p_MIMAT0002177_Homo_sapiens_miR-486-5p
37	hsa-miR-24-3p_MIMAT0000080_Homo_sapiens_miR-24-3p
3	hsa-miR-6775-5p_MIMAT0027450_Homo_sapiens_miR-6775-5p
5	hsa-miR-6747-5p_MIMAT0027394_Homo_sapiens_miR-6747-5p
46	hsa-miR-11401_MIMAT0044658_Homo_sapiens_miR-11401
396	hsa-miR-128-2-5p_MIMAT0031095_Homo_sapiens_miR-128-2-5p
8867	hsa-let-7a-5p_MIMAT0000062_Homo_sapiens_let-7a-5p
4	hsa-miR-145-5p_MIMAT0000437_Homo_sapiens_miR-145-5p
3256	hsa-miR-425-5p_MIMAT0003393_Homo_sapiens_miR-425-5p
3	hsa-miR-5001-5p_MIMAT0021021_Homo_sapiens_miR-5001-5p
3014	hsa-miR-3615_MIMAT0017994_Homo_sapiens_miR-3615
4	hsa-miR-654-5p_MIMAT0003330_Homo_sapiens_miR-654-5p
2	hsa-miR-4772-5p_MIMAT0019926_Homo_sapiens_miR-4772-5p
3	hsa-miR-1229-3p_MIMAT0005584_Homo_sapiens_miR-1229-3p
2596	hsa-miR-106b-3p_MIMAT0004672_Homo_sapiens_miR-106b-3p
4	hsa-miR-29b-1-5p_MIMAT0004514_Homo_sapiens_miR-29b-1-5p
2	hsa-miR-33b-5p_MIMAT0003301_Homo_sapiens_miR-33b-5p
36	hsa-let-7e-5p_MIMAT0000066_Homo_sapiens_let-7e-5p
8880	hsa-miR-484_MIMAT0002174_Homo_sapiens_miR-484
4	hsa-miR-10b-5p_MIMAT0000254_Homo_sapiens_miR-10b-5p
22	hsa-miR-1306-5p_MIMAT0022726_Homo_sapiens_miR-1306-5p
2	hsa-miR-7-5p_MIMAT0000252_Homo_sapiens_miR-7-5p
351	hsa-miR-223-3p_MIMAT0000280_Homo_sapiens_miR-223-3p
1	hsa-miR-3150a-5p_MIMAT0019206_Homo_sapiens_miR-3150a-5p
2	hsa-miR-5695_MIMAT0022488_Homo_sapiens_miR-5695
