CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
120	0	1	0.00	1
121	0	1	0.00	1
122	0	0		0
123	1	2	33.33	3
124	0	0		0
125	0	0		0
126	0	0		0
127	0	0		0
128	0	0		0
129	0	0		0
130	0	0		0
131	0	0		0
132	0	3	0.00	3
133	0	1	0.00	1
134	0	1	0.00	1
135	0	0		0
136	0	0		0
137	0	0		0
138	0	0		0
139	0	0		0
140	0	0		0
141	0	1	0.00	1
142	0	1	0.00	1
143	0	0		0
144	0	1	0.00	1
145	0	1	0.00	1
146	0	0		0
147	0	0		0
148	0	1	0.00	1
149	0	1	0.00	1
150	0	1	0.00	1
151	0	1	0.00	1
152	0	0		0
153	0	2	0.00	2
154	0	1	0.00	1
155	0	0		0
156	0	1	0.00	1
157	0	3	0.00	3
158	0	0		0
159	0	1	0.00	1
160	0	1	0.00	1
161	0	0		0
162	0	2	0.00	2
163	0	0		0
164	0	0		0
165	0	2	0.00	2
166	0	0		0
167	0	0		0
168	0	2	0.00	2
169	0	0		0
170	0	0		0
171	0	1	0.00	1
172	0	0		0
173	0	0		0
174	0	0		0
175	0	0		0
176	0	0		0
177	0	2	0.00	2
178	0	0		0
179	0	1	0.00	1
180	0	0		0
181	0	1	0.00	1
182	0	1	0.00	1
183	0	0		0
184	0	1	0.00	1
185	0	0		0
186	0	0		0
187	0	0		0
188	0	0		0
189	0	0		0
190	0	1	0.00	1
191	0	0		0
192	0	1	0.00	1
193	0	0		0
194	0	0		0
195	0	0		0
196	0	0		0
197	0	0		0
198	0	0		0
199	0	0		0
200	0	0		0
201	0	0		0
202	0	0		0
203	0	0		0
204	0	0		0
205	0	0		0
206	0	0		0
207	0	0		0
208	0	0		0
209	0	0		0
210	0	0		0
211	0	1	0.00	1
212	0	0		0
213	0	0		0
214	0	0		0
215	0	1	0.00	1

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2	1	66.67	3
2	2	1	66.67	3
3	0	2	0.00	2
4	2	1	66.67	3
5	2	5	28.57	7
6	0	4	0.00	4
7	1	4	20.00	5
8	1	4	20.00	5
9	1	3	25.00	4
10	2	3	40.00	5
11	0	4	0.00	4
12	2	4	33.33	6
13	1	3	25.00	4
14	0	2	0.00	2
15	2	3	40.00	5
16	1	4	20.00	5
17	1	3	25.00	4
18	1	1	50.00	2
19	2	2	50.00	4
20	0	4	0.00	4
21	0	2	0.00	2
22	0	4	0.00	4
23	1	8	11.11	9
24	2	3	40.00	5
25	0	5	0.00	5
26	0	5	0.00	5
27	0	3	0.00	3
28	0	5	0.00	5
29	1	2	33.33	3
30	1	1	50.00	2
31	1	0	100.00	1
32	1	1	50.00	2
33	0	1	0.00	1
34	0	2	0.00	2
35	0	1	0.00	1
36	0	3	0.00	3
37	0	4	0.00	4
38	0	4	0.00	4
39	0	3	0.00	3
40	0	3	0.00	3
41	0	2	0.00	2
42	1	3	25.00	4
43	0	1	0.00	1
44	0	3	0.00	3
45	0	1	0.00	1
46	0	2	0.00	2
47	0	1	0.00	1
48	0	2	0.00	2
49	0	0		0
50	0	1	0.00	1
51	0	3	0.00	3
52	0	0		0
53	1	2	33.33	3
54	1	2	33.33	3
55	0	2	0.00	2
56	0	3	0.00	3
57	0	1	0.00	1
58	0	3	0.00	3
59	0	6	0.00	6
60	0	3	0.00	3
61	0	5	0.00	5
62	1	0	100.00	1
63	1	3	25.00	4
64	0	1	0.00	1
65	0	4	0.00	4
66	0	3	0.00	3
67	0	5	0.00	5
68	0	3	0.00	3
69	1	5	16.67	6
70	0	1	0.00	1
71	0	4	0.00	4
72	1	0	100.00	1
73	0	0		0
74	0	2	0.00	2
75	0	0		0
76	0	2	0.00	2
77	0	2	0.00	2
78	1	3	25.00	4
79	0	0		0
80	0	3	0.00	3
81	0	4	0.00	4
82	0	3	0.00	3
83	1	0	100.00	1
84	0	2	0.00	2
85	0	2	0.00	2
86	0	5	0.00	5
87	0	6	0.00	6
88	0	7	0.00	7
89	0	2	0.00	2
90	0	1	0.00	1
91	0	1	0.00	1
92	0	1	0.00	1
93	0	1	0.00	1
94	1	3	25.00	4
95	1	0	100.00	1
96	0	1	0.00	1
97	0	0		0
98	0	0		0
99	0	1	0.00	1
100	0	1	0.00	1
101	0	0		0
102	0	2	0.00	2
103	0	1	0.00	1
104	0	0		0
105	1	1	50.00	2
106	0	0		0
107	0	0		0
108	0	0		0
109	1	3	25.00	4
110	0	1	0.00	1
111	0	0		0
112	0	0		0
113	0	2	0.00	2
114	0	2	0.00	2
115	0	5	0.00	5
116	0	0		0
117	0	0		0
118	0	1	0.00	1
119	0	0		0
120	0	1	0.00	1
121	0	1	0.00	1
122	0	1	0.00	1
123	0	1	0.00	1
124	0	3	0.00	3
125	0	0		0
126	0	1	0.00	1
127	0	1	0.00	1
128	0	1	0.00	1
129	0	2	0.00	2
130	0	2	0.00	2
131	0	2	0.00	2
132	0	1	0.00	1
133	0	1	0.00	1
134	0	0		0
135	0	0		0
136	0	1	0.00	1
137	0	1	0.00	1
138	0	4	0.00	4
139	0	4	0.00	4
140	0	1	0.00	1
141	0	2	0.00	2
142	0	2	0.00	2
143	0	1	0.00	1
144	0	2	0.00	2
145	0	1	0.00	1
146	0	0		0
147	0	0		0
148	0	1	0.00	1
149	0	4	0.00	4
150	0	3	0.00	3
151	0	0		0
152	0	1	0.00	1
153	0	0		0
154	0	0		0
155	0	3	0.00	3
156	0	1	0.00	1
157	1	0	100.00	1
158	0	1	0.00	1
159	0	1	0.00	1
160	0	1	0.00	1
161	0	2	0.00	2
162	0	0		0
163	0	1	0.00	1
164	0	1	0.00	1
165	0	0		0
166	0	1	0.00	1
167	0	1	0.00	1
168	0	2	0.00	2
169	0	2	0.00	2
170	0	2	0.00	2
171	0	0		0
172	0	0		0
173	0	2	0.00	2
174	0	0		0
175	0	2	0.00	2
176	0	1	0.00	1
177	0	0		0
178	0	1	0.00	1
179	0	2	0.00	2
180	0	1	0.00	1
181	0	1	0.00	1
182	0	0		0
183	0	0		0
184	0	0		0
185	0	1	0.00	1
186	0	1	0.00	1
187	0	0		0
188	0	0		0
189	0	1	0.00	1
190	0	1	0.00	1
191	0	1	0.00	1
192	0	0		0
193	0	0		0
194	0	0		0
195	0	1	0.00	1
196	0	1	0.00	1
197	0	0		0
198	0	0		0
199	0	0		0
200	0	0		0
201	0	0		0
202	0	0		0
203	0	0		0
204	0	0		0
205	0	0		0
206	0	0		0
207	0	1	0.00	1
208	0	0		0
209	0	1	0.00	1
210	0	1	0.00	1
211	0	0		0
212	0	0		0
213	0	0		0
214	0	0		0
215	0	0		0

